AccumulatedDischargerPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvPower,Hora,Dia,Mes,Anio 
157.7KWH (+ 0.0 KWH) ,262.1KWH (+ 0.1 KWH) ,157.7KWH (+ 0.0 KWH) ,153.6KWH (+ 0.0 KWH) ,07:10:19 p.m,12,marzo,2020
157.7KWH (+ 0.0 KWH) ,262.2KWH (+ 0.1 KWH) ,157.7KWH (+ 0.0 KWH) ,153.6KWH (+ 0.0 KWH) ,07:25:19 p.m,12,marzo,2020
157.7KWH (+ 0.0 KWH) ,262.2KWH (+ 0.0 KWH) ,157.7KWH (+ 0.0 KWH) ,153.6KWH (+ 0.0 KWH) ,01:35:49 a.m,13,marzo,2020
158.3KWH (+ 0.6 KWH) ,263.1KWH (+ 0.9 KWH) ,158.3KWH (+ 0.6 KWH) ,153.6KWH (+ 0.0 KWH) ,09:08:12 a.m,13,marzo,2020
159.1KWH (+ 0.8 KWH) ,264.2KWH (+ 1.1 KWH) ,159.1KWH (+ 0.8 KWH) ,154.1KWH (+ 0.5 KWH) ,09:23:17 a.m,13,marzo,2020
159.2KWH (+ 0.1 KWH) ,264.2KWH (+ 0.0 KWH) ,159.2KWH (+ 0.1 KWH) ,154.2KWH (+ 0.1 KWH) ,09:38:17 a.m,13,marzo,2020
159.2KWH (+ 0.0 KWH) ,264.3KWH (+ 0.1 KWH) ,159.2KWH (+ 0.0 KWH) ,154.3KWH (+ 0.1 KWH) ,09:53:17 a.m,13,marzo,2020
159.2KWH (+ 0.0 KWH) ,264.3KWH (+ 0.0 KWH) ,159.2KWH (+ 0.0 KWH) ,154.4KWH (+ 0.1 KWH) ,10:08:17 a.m,13,marzo,2020
159.3KWH (+ 0.1 KWH) ,264.3KWH (+ 0.0 KWH) ,159.3KWH (+ 0.1 KWH) ,154.6KWH (+ 0.2 KWH) ,10:23:17 a.m,13,marzo,2020
159.3KWH (+ 0.0 KWH) ,264.4KWH (+ 0.1 KWH) ,159.3KWH (+ 0.0 KWH) ,154.6KWH (+ 0.0 KWH) ,10:38:18 a.m,13,marzo,2020
159.4KWH (+ 0.1 KWH) ,264.4KWH (+ 0.0 KWH) ,159.4KWH (+ 0.1 KWH) ,154.8KWH (+ 0.2 KWH) ,10:53:18 a.m,13,marzo,2020
159.4KWH (+ 0.0 KWH) ,264.5KWH (+ 0.1 KWH) ,159.4KWH (+ 0.0 KWH) ,154.9KWH (+ 0.1 KWH) ,11:08:18 a.m,13,marzo,2020
159.5KWH (+ 0.1 KWH) ,264.5KWH (+ 0.0 KWH) ,159.5KWH (+ 0.1 KWH) ,154.9KWH (+ 0.0 KWH) ,11:23:18 a.m,13,marzo,2020
159.5KWH (+ 0.0 KWH) ,264.6KWH (+ 0.1 KWH) ,159.5KWH (+ 0.0 KWH) ,155KWH (+ 0.1 KWH) ,11:38:18 a.m,13,marzo,2020
159.5KWH (+ 0.0 KWH) ,264.6KWH (+ 0.0 KWH) ,159.5KWH (+ 0.0 KWH) ,155.1KWH (+ 0.1 KWH) ,11:53:18 a.m,13,marzo,2020
159.6KWH (+ 0.1 KWH) ,264.6KWH (+ 0.0 KWH) ,159.6KWH (+ 0.1 KWH) ,155.2KWH (+ 0.1 KWH) ,12:08:18 p.m,13,marzo,2020
159.6KWH (+ 0.0 KWH) ,264.7KWH (+ 0.1 KWH) ,159.6KWH (+ 0.0 KWH) ,155.2KWH (+ 0.0 KWH) ,12:23:19 p.m,13,marzo,2020
159.7KWH (+ 0.1 KWH) ,264.8KWH (+ 0.1 KWH) ,159.7KWH (+ 0.1 KWH) ,155.3KWH (+ 0.1 KWH) ,12:38:19 p.m,13,marzo,2020
159.7KWH (+ 0.0 KWH) ,264.8KWH (+ 0.0 KWH) ,159.7KWH (+ 0.0 KWH) ,155.4KWH (+ 0.1 KWH) ,12:53:19 p.m,13,marzo,2020
159.8KWH (+ 0.1 KWH) ,264.8KWH (+ 0.0 KWH) ,159.8KWH (+ 0.1 KWH) ,155.4KWH (+ 0.0 KWH) ,01:08:19 p.m,13,marzo,2020
159.8KWH (+ 0.0 KWH) ,264.9KWH (+ 0.1 KWH) ,159.8KWH (+ 0.0 KWH) ,155.5KWH (+ 0.1 KWH) ,01:23:19 p.m,13,marzo,2020
159.8KWH (+ 0.0 KWH) ,264.9KWH (+ 0.0 KWH) ,159.8KWH (+ 0.0 KWH) ,155.6KWH (+ 0.1 KWH) ,01:38:19 p.m,13,marzo,2020
159.9KWH (+ 0.1 KWH) ,265KWH (+ 0.1 KWH) ,159.9KWH (+ 0.1 KWH) ,155.6KWH (+ 0.0 KWH) ,01:53:19 p.m,13,marzo,2020
160KWH (+ 0.1 KWH) ,265KWH (+ 0.0 KWH) ,160KWH (+ 0.1 KWH) ,155.7KWH (+ 0.1 KWH) ,02:08:20 p.m,13,marzo,2020
160KWH (+ 0.0 KWH) ,265KWH (+ 0.0 KWH) ,160KWH (+ 0.0 KWH) ,155.7KWH (+ 0.0 KWH) ,02:23:20 p.m,13,marzo,2020
160KWH (+ 0.0 KWH) ,265.1KWH (+ 0.1 KWH) ,160KWH (+ 0.0 KWH) ,155.8KWH (+ 0.1 KWH) ,02:38:20 p.m,13,marzo,2020
160KWH (+ 0.0 KWH) ,265.1KWH (+ 0.0 KWH) ,160KWH (+ 0.0 KWH) ,155.8KWH (+ 0.0 KWH) ,02:53:20 p.m,13,marzo,2020
160.1KWH (+ 0.1 KWH) ,265.1KWH (+ 0.0 KWH) ,160.1KWH (+ 0.1 KWH) ,155.9KWH (+ 0.1 KWH) ,03:08:20 p.m,13,marzo,2020
160.1KWH (+ 0.0 KWH) ,265.2KWH (+ 0.1 KWH) ,160.1KWH (+ 0.0 KWH) ,155.9KWH (+ 0.0 KWH) ,03:23:20 p.m,13,marzo,2020
160.2KWH (+ 0.1 KWH) ,265.2KWH (+ 0.0 KWH) ,160.2KWH (+ 0.1 KWH) ,156KWH (+ 0.1 KWH) ,03:38:20 p.m,13,marzo,2020
160.2KWH (+ 0.0 KWH) ,265.3KWH (+ 0.1 KWH) ,160.2KWH (+ 0.0 KWH) ,156.1KWH (+ 0.1 KWH) ,03:53:20 p.m,13,marzo,2020
160.3KWH (+ 0.1 KWH) ,265.3KWH (+ 0.0 KWH) ,160.3KWH (+ 0.1 KWH) ,156.1KWH (+ 0.0 KWH) ,04:08:21 p.m,13,marzo,2020
160.3KWH (+ 0.0 KWH) ,265.4KWH (+ 0.1 KWH) ,160.3KWH (+ 0.0 KWH) ,156.2KWH (+ 0.1 KWH) ,04:23:21 p.m,13,marzo,2020
160.3KWH (+ 0.0 KWH) ,265.4KWH (+ 0.0 KWH) ,160.3KWH (+ 0.0 KWH) ,156.2KWH (+ 0.0 KWH) ,04:38:21 p.m,13,marzo,2020
160.4KWH (+ 0.1 KWH) ,265.5KWH (+ 0.1 KWH) ,160.4KWH (+ 0.1 KWH) ,156.3KWH (+ 0.1 KWH) ,04:53:21 p.m,13,marzo,2020
160.5KWH (+ 0.1 KWH) ,265.6KWH (+ 0.1 KWH) ,160.5KWH (+ 0.1 KWH) ,156.4KWH (+ 0.1 KWH) ,05:08:21 p.m,13,marzo,2020
160.6KWH (+ 0.1 KWH) ,265.6KWH (+ 0.0 KWH) ,160.6KWH (+ 0.1 KWH) ,156.4KWH (+ 0.0 KWH) ,05:23:21 p.m,13,marzo,2020
160.6KWH (+ 0.0 KWH) ,265.7KWH (+ 0.1 KWH) ,160.6KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,05:38:21 p.m,13,marzo,2020
160.7KWH (+ 0.1 KWH) ,265.7KWH (+ 0.0 KWH) ,160.7KWH (+ 0.1 KWH) ,156.4KWH (+ 0.0 KWH) ,05:53:22 p.m,13,marzo,2020
160.8KWH (+ 0.1 KWH) ,265.8KWH (+ 0.1 KWH) ,160.8KWH (+ 0.1 KWH) ,156.4KWH (+ 0.0 KWH) ,06:08:22 p.m,13,marzo,2020
160.9KWH (+ 0.1 KWH) ,265.9KWH (+ 0.1 KWH) ,160.9KWH (+ 0.1 KWH) ,156.4KWH (+ 0.0 KWH) ,06:23:22 p.m,13,marzo,2020
160.9KWH (+ 0.0 KWH) ,266KWH (+ 0.1 KWH) ,160.9KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,06:38:22 p.m,13,marzo,2020
161KWH (+ 0.1 KWH) ,266.1KWH (+ 0.1 KWH) ,161KWH (+ 0.1 KWH) ,156.4KWH (+ 0.0 KWH) ,06:53:22 p.m,13,marzo,2020
161.1KWH (+ 0.1 KWH) ,266.1KWH (+ 0.0 KWH) ,161.1KWH (+ 0.1 KWH) ,156.4KWH (+ 0.0 KWH) ,07:08:22 p.m,13,marzo,2020
161.1KWH (+ 0.0 KWH) ,266.1KWH (+ 0.0 KWH) ,161.1KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,01:10:04 a.m,14,marzo,2020
161.6KWH (+ 0.5 KWH) ,267KWH (+ 0.9 KWH) ,161.6KWH (+ 0.5 KWH) ,156.4KWH (+ 0.0 KWH) ,09:04:44 a.m,14,marzo,2020
162.3KWH (+ 0.7 KWH) ,268.3KWH (+ 1.3 KWH) ,162.3KWH (+ 0.7 KWH) ,156.4KWH (+ 0.0 KWH) ,09:19:47 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,268.4KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,09:34:47 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,268.5KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,09:49:47 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,268.5KWH (+ 0.0 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,10:04:47 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,268.6KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,10:19:47 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,268.7KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,10:34:48 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,268.8KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,10:49:48 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,268.9KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,11:04:48 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,11:19:48 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269KWH (+ 0.0 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,11:34:48 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269.1KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,11:49:48 a.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269.3KWH (+ 0.2 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,12:04:48 p.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269.3KWH (+ 0.0 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,12:19:48 p.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269.4KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.4KWH (+ 0.0 KWH) ,12:34:49 p.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269.5KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.5KWH (+ 0.1 KWH) ,12:49:49 p.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269.5KWH (+ 0.0 KWH) ,162.3KWH (+ 0.0 KWH) ,156.5KWH (+ 0.0 KWH) ,01:04:49 p.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269.6KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,156.5KWH (+ 0.0 KWH) ,01:19:49 p.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,269.6KWH (+ 0.0 KWH) ,162.3KWH (+ 0.0 KWH) ,156.5KWH (+ 0.0 KWH) ,07:20:49 p.m,14,marzo,2020
162.3KWH (+ 0.0 KWH) ,270.2KWH (+ 0.6 KWH) ,162.3KWH (+ 0.0 KWH) ,156.8KWH (+ 0.3 KWH) ,09:08:00 a.m,16,marzo,2020
165.8KWH (+ 3.5 KWH) ,275.2KWH (+ 5.0 KWH) ,165.8KWH (+ 3.5 KWH) ,159.2KWH (+ 2.4 KWH) ,09:23:03 a.m,16,marzo,2020
165.9KWH (+ 0.1 KWH) ,275.3KWH (+ 0.1 KWH) ,165.9KWH (+ 0.1 KWH) ,159.3KWH (+ 0.1 KWH) ,09:38:03 a.m,16,marzo,2020
165.9KWH (+ 0.0 KWH) ,275.4KWH (+ 0.1 KWH) ,165.9KWH (+ 0.0 KWH) ,159.3KWH (+ 0.0 KWH) ,09:53:03 a.m,16,marzo,2020
166KWH (+ 0.1 KWH) ,275.4KWH (+ 0.0 KWH) ,166KWH (+ 0.1 KWH) ,159.5KWH (+ 0.2 KWH) ,10:08:04 a.m,16,marzo,2020
166.1KWH (+ 0.1 KWH) ,275.5KWH (+ 0.1 KWH) ,166.1KWH (+ 0.1 KWH) ,159.7KWH (+ 0.2 KWH) ,10:23:04 a.m,16,marzo,2020
166.2KWH (+ 0.1 KWH) ,275.6KWH (+ 0.1 KWH) ,166.2KWH (+ 0.1 KWH) ,159.8KWH (+ 0.1 KWH) ,10:38:04 a.m,16,marzo,2020
166.2KWH (+ 0.0 KWH) ,275.7KWH (+ 0.1 KWH) ,166.2KWH (+ 0.0 KWH) ,159.9KWH (+ 0.1 KWH) ,10:53:04 a.m,16,marzo,2020
166.3KWH (+ 0.1 KWH) ,275.7KWH (+ 0.0 KWH) ,166.3KWH (+ 0.1 KWH) ,160KWH (+ 0.1 KWH) ,11:08:04 a.m,16,marzo,2020
166.3KWH (+ 0.0 KWH) ,275.8KWH (+ 0.1 KWH) ,166.3KWH (+ 0.0 KWH) ,160.2KWH (+ 0.2 KWH) ,11:23:04 a.m,16,marzo,2020
166.4KWH (+ 0.1 KWH) ,275.9KWH (+ 0.1 KWH) ,166.4KWH (+ 0.1 KWH) ,160.2KWH (+ 0.0 KWH) ,11:38:05 a.m,16,marzo,2020
166.5KWH (+ 0.1 KWH) ,275.9KWH (+ 0.0 KWH) ,166.5KWH (+ 0.1 KWH) ,160.4KWH (+ 0.2 KWH) ,11:53:05 a.m,16,marzo,2020
166.6KWH (+ 0.1 KWH) ,276KWH (+ 0.1 KWH) ,166.6KWH (+ 0.1 KWH) ,160.5KWH (+ 0.1 KWH) ,12:08:05 p.m,16,marzo,2020
166.6KWH (+ 0.0 KWH) ,276.1KWH (+ 0.1 KWH) ,166.6KWH (+ 0.0 KWH) ,160.6KWH (+ 0.1 KWH) ,12:23:05 p.m,16,marzo,2020
166.7KWH (+ 0.1 KWH) ,276.1KWH (+ 0.0 KWH) ,166.7KWH (+ 0.1 KWH) ,160.7KWH (+ 0.1 KWH) ,12:38:05 p.m,16,marzo,2020
166.8KWH (+ 0.1 KWH) ,276.2KWH (+ 0.1 KWH) ,166.8KWH (+ 0.1 KWH) ,160.8KWH (+ 0.1 KWH) ,12:53:05 p.m,16,marzo,2020
166.8KWH (+ 0.0 KWH) ,276.2KWH (+ 0.0 KWH) ,166.8KWH (+ 0.0 KWH) ,160.9KWH (+ 0.1 KWH) ,01:08:06 p.m,16,marzo,2020
166.9KWH (+ 0.1 KWH) ,276.3KWH (+ 0.1 KWH) ,166.9KWH (+ 0.1 KWH) ,160.9KWH (+ 0.0 KWH) ,01:23:06 p.m,16,marzo,2020
166.9KWH (+ 0.0 KWH) ,276.3KWH (+ 0.0 KWH) ,166.9KWH (+ 0.0 KWH) ,161KWH (+ 0.1 KWH) ,01:38:06 p.m,16,marzo,2020
166.9KWH (+ 0.0 KWH) ,276.4KWH (+ 0.1 KWH) ,166.9KWH (+ 0.0 KWH) ,161.1KWH (+ 0.1 KWH) ,01:53:06 p.m,16,marzo,2020
167KWH (+ 0.1 KWH) ,276.4KWH (+ 0.0 KWH) ,167KWH (+ 0.1 KWH) ,161.1KWH (+ 0.0 KWH) ,02:08:06 p.m,16,marzo,2020
167KWH (+ 0.0 KWH) ,276.4KWH (+ 0.0 KWH) ,167KWH (+ 0.0 KWH) ,161.2KWH (+ 0.1 KWH) ,02:23:07 p.m,16,marzo,2020
167KWH (+ 0.0 KWH) ,276.4KWH (+ 0.0 KWH) ,167KWH (+ 0.0 KWH) ,161.2KWH (+ 0.0 KWH) ,02:38:07 p.m,16,marzo,2020
167.1KWH (+ 0.1 KWH) ,276.5KWH (+ 0.1 KWH) ,167.1KWH (+ 0.1 KWH) ,161.3KWH (+ 0.1 KWH) ,02:53:07 p.m,16,marzo,2020
167.1KWH (+ 0.0 KWH) ,276.5KWH (+ 0.0 KWH) ,167.1KWH (+ 0.0 KWH) ,161.3KWH (+ 0.0 KWH) ,03:08:07 p.m,16,marzo,2020
167.1KWH (+ 0.0 KWH) ,276.6KWH (+ 0.1 KWH) ,167.1KWH (+ 0.0 KWH) ,161.4KWH (+ 0.1 KWH) ,03:23:07 p.m,16,marzo,2020
167.2KWH (+ 0.1 KWH) ,276.6KWH (+ 0.0 KWH) ,167.2KWH (+ 0.1 KWH) ,161.4KWH (+ 0.0 KWH) ,03:38:07 p.m,16,marzo,2020
167.2KWH (+ 0.0 KWH) ,276.6KWH (+ 0.0 KWH) ,167.2KWH (+ 0.0 KWH) ,161.5KWH (+ 0.1 KWH) ,03:53:08 p.m,16,marzo,2020
167.3KWH (+ 0.1 KWH) ,276.7KWH (+ 0.1 KWH) ,167.3KWH (+ 0.1 KWH) ,161.6KWH (+ 0.1 KWH) ,04:08:08 p.m,16,marzo,2020
167.3KWH (+ 0.0 KWH) ,276.8KWH (+ 0.1 KWH) ,167.3KWH (+ 0.0 KWH) ,161.6KWH (+ 0.0 KWH) ,04:23:08 p.m,16,marzo,2020
167.4KWH (+ 0.1 KWH) ,276.8KWH (+ 0.0 KWH) ,167.4KWH (+ 0.1 KWH) ,161.7KWH (+ 0.1 KWH) ,04:38:08 p.m,16,marzo,2020
167.5KWH (+ 0.1 KWH) ,276.9KWH (+ 0.1 KWH) ,167.5KWH (+ 0.1 KWH) ,161.8KWH (+ 0.1 KWH) ,04:53:08 p.m,16,marzo,2020
167.6KWH (+ 0.1 KWH) ,277KWH (+ 0.1 KWH) ,167.6KWH (+ 0.1 KWH) ,161.9KWH (+ 0.1 KWH) ,05:08:08 p.m,16,marzo,2020
167.7KWH (+ 0.1 KWH) ,277.1KWH (+ 0.1 KWH) ,167.7KWH (+ 0.1 KWH) ,161.9KWH (+ 0.0 KWH) ,05:23:09 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.2KWH (+ 0.1 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,05:38:09 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.3KWH (+ 0.1 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,05:53:09 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.4KWH (+ 0.1 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,06:08:09 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.5KWH (+ 0.1 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,06:23:09 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.6KWH (+ 0.1 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,06:38:09 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.6KWH (+ 0.0 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,06:53:10 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.7KWH (+ 0.1 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,07:08:10 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.8KWH (+ 0.1 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,07:23:10 p.m,16,marzo,2020
167.7KWH (+ 0.0 KWH) ,277.9KWH (+ 0.1 KWH) ,167.7KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,07:38:10 p.m,16,marzo,2020
167.8KWH (+ 0.1 KWH) ,278KWH (+ 0.1 KWH) ,167.8KWH (+ 0.1 KWH) ,161.9KWH (+ 0.0 KWH) ,07:53:10 p.m,16,marzo,2020
167.8KWH (+ 0.0 KWH) ,278KWH (+ 0.0 KWH) ,167.8KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,08:08:11 p.m,16,marzo,2020
167.8KWH (+ 0.0 KWH) ,278KWH (+ 0.0 KWH) ,167.8KWH (+ 0.0 KWH) ,161.9KWH (+ 0.0 KWH) ,02:09:49 a.m,17,marzo,2020
168.5KWH (+ 0.7 KWH) ,278.9KWH (+ 0.9 KWH) ,168.5KWH (+ 0.7 KWH) ,161.9KWH (+ 0.0 KWH) ,08:28:37 a.m,17,marzo,2020
168.9KWH (+ 0.4 KWH) ,279.8KWH (+ 0.9 KWH) ,168.9KWH (+ 0.4 KWH) ,162KWH (+ 0.1 KWH) ,08:43:40 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,279.9KWH (+ 0.1 KWH) ,168.9KWH (+ 0.0 KWH) ,162.1KWH (+ 0.1 KWH) ,08:58:40 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280KWH (+ 0.1 KWH) ,168.9KWH (+ 0.0 KWH) ,162.1KWH (+ 0.0 KWH) ,09:13:40 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.1KWH (+ 0.1 KWH) ,168.9KWH (+ 0.0 KWH) ,162.1KWH (+ 0.0 KWH) ,09:28:40 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.1KWH (+ 0.0 KWH) ,168.9KWH (+ 0.0 KWH) ,162.1KWH (+ 0.0 KWH) ,09:43:40 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.2KWH (+ 0.1 KWH) ,168.9KWH (+ 0.0 KWH) ,162.1KWH (+ 0.0 KWH) ,09:58:40 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.3KWH (+ 0.1 KWH) ,168.9KWH (+ 0.0 KWH) ,162.1KWH (+ 0.0 KWH) ,10:13:41 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.4KWH (+ 0.1 KWH) ,168.9KWH (+ 0.0 KWH) ,162.1KWH (+ 0.0 KWH) ,10:28:41 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.5KWH (+ 0.1 KWH) ,168.9KWH (+ 0.0 KWH) ,162.2KWH (+ 0.1 KWH) ,10:43:41 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.5KWH (+ 0.0 KWH) ,168.9KWH (+ 0.0 KWH) ,162.2KWH (+ 0.0 KWH) ,10:58:41 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.6KWH (+ 0.1 KWH) ,168.9KWH (+ 0.0 KWH) ,162.3KWH (+ 0.1 KWH) ,11:13:41 a.m,17,marzo,2020
168.9KWH (+ 0.0 KWH) ,280.6KWH (+ 0.0 KWH) ,168.9KWH (+ 0.0 KWH) ,162.3KWH (+ 0.0 KWH) ,11:28:42 a.m,17,marzo,2020
169KWH (+ 0.1 KWH) ,280.7KWH (+ 0.1 KWH) ,169KWH (+ 0.1 KWH) ,162.3KWH (+ 0.0 KWH) ,11:43:42 a.m,17,marzo,2020
169KWH (+ 0.0 KWH) ,280.8KWH (+ 0.1 KWH) ,169KWH (+ 0.0 KWH) ,162.4KWH (+ 0.1 KWH) ,11:58:42 a.m,17,marzo,2020
169.1KWH (+ 0.1 KWH) ,280.8KWH (+ 0.0 KWH) ,169.1KWH (+ 0.1 KWH) ,162.4KWH (+ 0.0 KWH) ,12:13:42 p.m,17,marzo,2020
169.2KWH (+ 0.1 KWH) ,280.9KWH (+ 0.1 KWH) ,169.2KWH (+ 0.1 KWH) ,162.5KWH (+ 0.1 KWH) ,12:28:42 p.m,17,marzo,2020
169.2KWH (+ 0.0 KWH) ,280.9KWH (+ 0.0 KWH) ,169.2KWH (+ 0.0 KWH) ,162.5KWH (+ 0.0 KWH) ,12:43:42 p.m,17,marzo,2020
169.3KWH (+ 0.1 KWH) ,281KWH (+ 0.1 KWH) ,169.3KWH (+ 0.1 KWH) ,162.6KWH (+ 0.1 KWH) ,12:58:43 p.m,17,marzo,2020
169.3KWH (+ 0.0 KWH) ,281.1KWH (+ 0.1 KWH) ,169.3KWH (+ 0.0 KWH) ,162.7KWH (+ 0.1 KWH) ,01:13:43 p.m,17,marzo,2020
169.4KWH (+ 0.1 KWH) ,281.1KWH (+ 0.0 KWH) ,169.4KWH (+ 0.1 KWH) ,162.8KWH (+ 0.1 KWH) ,01:28:43 p.m,17,marzo,2020
169.5KWH (+ 0.1 KWH) ,281.2KWH (+ 0.1 KWH) ,169.5KWH (+ 0.1 KWH) ,162.8KWH (+ 0.0 KWH) ,01:43:43 p.m,17,marzo,2020
169.5KWH (+ 0.0 KWH) ,281.3KWH (+ 0.1 KWH) ,169.5KWH (+ 0.0 KWH) ,162.8KWH (+ 0.0 KWH) ,01:58:43 p.m,17,marzo,2020
169.6KWH (+ 0.1 KWH) ,281.3KWH (+ 0.0 KWH) ,169.6KWH (+ 0.1 KWH) ,162.8KWH (+ 0.0 KWH) ,02:13:43 p.m,17,marzo,2020
169.7KWH (+ 0.1 KWH) ,281.4KWH (+ 0.1 KWH) ,169.7KWH (+ 0.1 KWH) ,162.8KWH (+ 0.0 KWH) ,02:28:44 p.m,17,marzo,2020
169.7KWH (+ 0.0 KWH) ,281.5KWH (+ 0.1 KWH) ,169.7KWH (+ 0.0 KWH) ,162.8KWH (+ 0.0 KWH) ,02:43:44 p.m,17,marzo,2020
169.8KWH (+ 0.1 KWH) ,281.5KWH (+ 0.0 KWH) ,169.8KWH (+ 0.1 KWH) ,162.9KWH (+ 0.1 KWH) ,02:58:44 p.m,17,marzo,2020
169.8KWH (+ 0.0 KWH) ,281.6KWH (+ 0.1 KWH) ,169.8KWH (+ 0.0 KWH) ,162.9KWH (+ 0.0 KWH) ,03:13:44 p.m,17,marzo,2020
169.8KWH (+ 0.0 KWH) ,281.8KWH (+ 0.2 KWH) ,169.8KWH (+ 0.0 KWH) ,162.9KWH (+ 0.0 KWH) ,03:28:44 p.m,17,marzo,2020
169.8KWH (+ 0.0 KWH) ,281.9KWH (+ 0.1 KWH) ,169.8KWH (+ 0.0 KWH) ,162.9KWH (+ 0.0 KWH) ,03:43:44 p.m,17,marzo,2020
169.8KWH (+ 0.0 KWH) ,281.9KWH (+ 0.0 KWH) ,169.8KWH (+ 0.0 KWH) ,162.9KWH (+ 0.0 KWH) ,03:58:44 p.m,17,marzo,2020
