AccumulatedDischargerPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvPower,Hora,Dia,Mes,Anio
137.5KWH (+ 0.0 KWH) ,231.9KWH (+ 0.1 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:10:15 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,231.9KWH (+ 0.0 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:15:15 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,231.9KWH (+ 0.0 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:20:16 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,232KWH (+ 0.1 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:25:16 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,232KWH (+ 0.0 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:30:16 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,232KWH (+ 0.0 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:35:16 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,232.1KWH (+ 0.1 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:40:16 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,232.1KWH (+ 0.0 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:45:16 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,232.1KWH (+ 0.0 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:50:16 p.m,05,marzo,2020
137.5KWH (+ 0.0 KWH) ,232.2KWH (+ 0.1 KWH) ,137.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,10:55:17 p.m,05,marzo,2020
137.6KWH (+ 0.1 KWH) ,232.2KWH (+ 0.0 KWH) ,137.6KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,11:00:17 p.m,05,marzo,2020
137.6KWH (+ 0.0 KWH) ,232.2KWH (+ 0.0 KWH) ,137.6KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,11:05:17 p.m,05,marzo,2020
137.7KWH (+ 0.1 KWH) ,232.3KWH (+ 0.1 KWH) ,137.7KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,11:10:17 p.m,05,marzo,2020
137.7KWH (+ 0.0 KWH) ,232.3KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,11:15:17 p.m,05,marzo,2020
137.7KWH (+ 0.0 KWH) ,232.4KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,11:20:17 p.m,05,marzo,2020
137.8KWH (+ 0.1 KWH) ,232.4KWH (+ 0.0 KWH) ,137.8KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,11:25:18 p.m,05,marzo,2020
137.8KWH (+ 0.0 KWH) ,232.4KWH (+ 0.0 KWH) ,137.8KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,11:30:18 p.m,05,marzo,2020
137.9KWH (+ 0.1 KWH) ,232.5KWH (+ 0.1 KWH) ,137.9KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,11:35:18 p.m,05,marzo,2020
137.9KWH (+ 0.0 KWH) ,232.5KWH (+ 0.0 KWH) ,137.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,11:40:18 p.m,05,marzo,2020
137.9KWH (+ 0.0 KWH) ,232.5KWH (+ 0.0 KWH) ,137.9KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,11:45:18 p.m,05,marzo,2020
138KWH (+ 0.1 KWH) ,232.6KWH (+ 0.1 KWH) ,138KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,11:50:18 p.m,05,marzo,2020
138KWH (+ 0.0 KWH) ,232.6KWH (+ 0.0 KWH) ,138KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,11:55:19 p.m,05,marzo,2020
138KWH (+ 0.0 KWH) ,232.6KWH (+ 0.0 KWH) ,138KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:00:19 a.m,06,marzo,2020
138KWH (+ 0.0 KWH) ,232.7KWH (+ 0.1 KWH) ,138KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:05:19 a.m,06,marzo,2020
138.1KWH (+ 0.1 KWH) ,232.7KWH (+ 0.0 KWH) ,138.1KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,12:10:19 a.m,06,marzo,2020
138.1KWH (+ 0.0 KWH) ,232.7KWH (+ 0.0 KWH) ,138.1KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:15:19 a.m,06,marzo,2020
138.1KWH (+ 0.0 KWH) ,232.7KWH (+ 0.0 KWH) ,138.1KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:20:20 a.m,06,marzo,2020
138.1KWH (+ 0.0 KWH) ,232.8KWH (+ 0.1 KWH) ,138.1KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:25:20 a.m,06,marzo,2020
138.2KWH (+ 0.1 KWH) ,232.8KWH (+ 0.0 KWH) ,138.2KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,12:30:20 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,232.8KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:35:20 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,232.9KWH (+ 0.1 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:40:21 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,232.9KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:45:21 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,232.9KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:50:21 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233KWH (+ 0.1 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,12:55:21 a.m,06,marzo,2020
